! 1H range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
145.000000	148310    	145.000000	148648    	145.000000	148761    	145.000000	148841    	145.000000	148761    	145.000000	2941.98   	145.000000	1376.39   	145.000000	3845.1    	145.000000	3250.81   	145.000000	3831.64   	
150.000000	157366    	150.000000	157720    	150.000000	157848    	150.000000	157934    	150.000000	157848    	150.000000	3115.94   	150.000000	1455.55   	150.000000	4076.24   	150.000000	3441.78   	150.000000	4067.15   	
155.000000	166678    	155.000000	167003    	155.000000	167146    	155.000000	167239    	155.000000	167147    	155.000000	3293.31   	155.000000	1536.26   	155.000000	4312.37   	155.000000	3636.8    	155.000000	4308.23   	
160.000000	176193    	160.000000	176492    	160.000000	176654    	160.000000	176753    	160.000000	176654    	160.000000	3473.97   	160.000000	1618.48   	160.000000	4553.37   	160.000000	3835.78   	160.000000	4554.76   	
165.000000	185907    	165.000000	186185    	165.000000	186366    	165.000000	186472    	165.000000	186366    	165.000000	3657.84   	165.000000	1702.19   	165.000000	4799.13   	165.000000	4038.64   	165.000000	4806.66   	
170.000000	195814    	170.000000	196078    	170.000000	196279    	170.000000	196393    	170.000000	196280    	170.000000	3844.81   	170.000000	1787.34   	170.000000	5049.54   	170.000000	4245.31   	170.000000	5063.83   	
175.000000	205913    	175.000000	206167    	175.000000	206390    	175.000000	206511    	175.000000	206391    	175.000000	4034.79   	175.000000	1873.84   	175.000000	5304.5    	175.000000	4455.7    	175.000000	5326.17   	
180.000000	216200    	180.000000	216450    	180.000000	216696    	180.000000	216825    	180.000000	216697    	180.000000	4227.69   	180.000000	1961.71   	180.000000	5563.91   	180.000000	4669.76   	180.000000	5593.61   	
185.000000	226672    	185.000000	226922    	185.000000	227193    	185.000000	227329    	185.000000	227194    	185.000000	4423.42   	185.000000	2050.94   	185.000000	5827.66   	185.000000	4887.4    	185.000000	5866.04   	
190.000000	237326    	190.000000	237581    	190.000000	237879    	190.000000	238022    	190.000000	237879    	190.000000	4621.89   	190.000000	2141.47   	190.000000	6095.65   	190.000000	5108.56   	190.000000	6143.38   	
195.000000	248159    	195.000000	248424    	195.000000	248750    	195.000000	248901    	195.000000	248749    	195.000000	4823.03   	195.000000	2233.25   	195.000000	6367.79   	195.000000	5333.16   	195.000000	6425.56   	
200.000000	259168    	200.000000	259448    	200.000000	259802    	200.000000	259961    	200.000000	259801    	200.000000	5026.75   	200.000000	2326.3    	200.000000	6643.98   	200.000000	5561.15   	200.000000	6712.48   	
